ID,Reference,refyear,OriginalTitle,FrenchTitle,EnglishTitle,CommitteDecisionDate,kind,Genre,support,SecretariatDecision,firstfilm,secondfilm,budget,reason,Director,key,AnnouncedAmount,CoproducerId,country1,countryname1_english,percentage_participation,contributor_rank,majmin,lumieres_id,lumieres_title,lumieres_matching_title,lumieres_directors,lumieres_prod_year,lumieres_relevance,lumieres_admissions,imdb_id,imdb_ratings,imdb_nbvotes
6368,11-035-F,2011,The songs of name,,,,Fiction,,Inelegible,Withdrawal Secretariat,0,0,15153731.0,,['Vadim Perelman'],6368,"[8873037.0, 3184137.0, 3096557.0]","[26052, 26220, 26222]","['BE ', 'PL ', 'CA ']","['Belgium', 'Poland', 'Canada']","[0.58553, 0.21012, 0.20434]","[1, 2, 3]","['Majority', 'Minority', 'Minority']",88923,Persian Lessons,Persian Lessons,Vadim Perelman,2020,1.0,242854,tt9738784,7.4,12405
6369,11-036-F,2011,Mauvaises Herbes,,,2011-03-10,Fiction,,Rejected,Eligible,0,0,6172789.0,,['Safy Nebbou'],6369,"[625000.0, 1847789.0, 3700000.0]","[25, 297, 24288]","['BE ', 'LU ', 'FR ']","['Belgium', 'Luxembourg', 'France']","[0.10125, 0.29934, 0.5994]","[3, 2, 1]","['Minority', 'Minority', 'Majority']",39190,Comme un homme,Mauvaises herbes,Safy Nebbou,2012,1.0,31861,tt2130125,5.6,239
6370,11-037-F,2011,Tout le monde peut se tromper,,,,Fiction,,Inelegible,Withdrawal Secretariat,1,0,2957363.0,,['Jonathan Zaccaï'],6370,"[1480000.0, 1477363.0]","[353, 14515]","['BE ', 'FR ']","['Belgium', 'France']","[0.50045, 0.49955]","[1, 2]","['Majority', 'Minority']",40276,JC comme Jésus Christ,JC comme Jésus Christ,Jonathan Zaccaï,2011,1.0,14405,tt1974287,4.2,193
6371,11-038-F,2011,Four Suns,,,2011-03-10,Fiction,,Rejected,Eligible,0,0,1485676.0,,['Bohdan Slama'],6371,"[1031676.0, 154000.0, 300000.0]","[245, 266, 14826]","['CZ ', 'DE ', 'FR ']","['Czech Republic', 'Germany', 'France']","[0.69442, 0.10366, 0.20193]","[1, 3, 2]","['Majority', 'Minority', 'Minority']",41671,Ctyri slunce,Four Suns,Bohdan Slama,2012,1.0,68637,tt2106292,6.3,334
6372,11-039-F,2011,The Resurrection of a bastard,,,2011-03-10,Fiction,,Rejected,Eligible,1,0,1820338.0,,['Guido Van Driel'],6372,"[1377838.0, 442500.0]","[25191, 26259]","['NL ', 'BE ']","['Netherlands', 'Belgium']","[0.75691, 0.24309]","[1, 2]","['Majority', 'Minority']",44884,De Wederopstanding van een Klootzak,The Resurrection of a Bastard,Guido van Driel,2013,1.0,6361,tt2317102,6.2,734
6373,11-040-F,2011,Dawn,,,,Fiction,,Inelegible,Withdrawal Secretariat,1,0,1003040.0,,['Robert Budina'],6373,"[188040.0, 225400.0, 109600.0, 480000.0]","[159, 23946, 25764, 26266]","['GR ', 'FR ', 'RO ', 'AL ']","['Greece', 'France', 'Romania', 'Albania']","[0.18747, 0.22472, 0.10927, 0.47855]","[3, 2, 4, 1]","['Minority', 'Minority', 'Minority', 'Majority']",39274,Agon,Agon,Robert Budina,2012,1.0,111,tt2209102,6.0,222
6431,11-041-F,2011,Sueno y  Silencio,,Dream and Silence,2011-06-10,Fiction,,Rejected,Eligible,0,0,2125000.0,,['Jaime Rosales'],6431,"[1700000.0, 425000.0]","[26477, 26478]","['ES ', 'FR ']","['Spain', 'France']","[0.8, 0.2]","[1, 2]","['Majority', 'Minority']",39318,Sueño y silencio,Sueño y silencio,Jaime Rosales,2012,0.95,6576,tt2342317,5.8,217
6432,11-042-F,2011,Night Train to Lisbon,,,2011-06-10,Fiction,,Supported,Eligible,0,0,7694310.0,,['Bille August'],6432,"[829670.0, 1568582.0, 5342358.0]","[12494, 12524, 26479]","['PT ', 'CH ', 'DE ']","['Portugal', 'Switzerland', 'Germany']","[0.10783, 0.20386, 0.69433]","[8, 4, 2]","['Minority', 'Minority', 'Minority']",43743,Night Train to Lisbon,Night Train to Lisbon,Bille August,2013,1.0,1522264,tt1654523,6.8,20877
6433,11-043-F,2011,Miracle,,,2011-06-10,Fiction,,Rejected,Eligible,1,0,1071462.0,,['Juraj Lehotsky'],6433,"[301034.0, 770428.0]","[245, 26496]","['CZ ', 'SK ']","['Czech Republic', 'Slovakia']","[0.28096, 0.71904]","[2, 1]","['Minority', 'Majority']",44626,Zazrak,Miracle,Juraj Lehotsky,2013,1.0,7616,tt3012818,5.8,135
6434,11-044-F,2011,Michael Kohlhaas,,,2011-06-10,Fiction,,Rejected,Eligible,0,0,5180148.0,,['Arnaud Des Pallières'],6434,"[4099520.0, 1080628.0]","[188, 26502]","['FR ', 'DE ']","['France', 'Germany']","[0.79139, 0.20861]","[1, 2]","['Majority', 'Minority']",39194,Michael Kohlhaas,Michael Kohlhaas,Arnaud des Pallières,2012,1.0,271938,tt2054790,6.1,9240
